epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.68294,1.71492,2.82947,0.89081,0.00023,0.00166,0.00012,4e-05,1.51927,3.76164,0.84351,0.000405983,0.000405983,0.000405983
2,11.5174,1.613,1.32605,0.8544,0.04076,0.28644,0.18183,0.08958,1.43387,2.66519,0.82956,0.000806361,0.000806361,0.000806361
3,15.2922,1.54937,1.15772,0.84239,0.94677,0.19121,0.23928,0.13463,1.35737,1.55961,0.82999,0.00119024,0.00119024,0.00119024
4,19.0568,1.4686,1.0782,0.83549,0.86892,0.26256,0.30525,0.1833,1.23938,0.96282,0.82436,0.00117575,0.00117575,0.00117575
5,22.6681,1.37432,0.99187,0.83052,0.66614,0.29321,0.3176,0.17835,1.34445,0.94963,0.83117,0.001151,0.001151,0.001151
6,26.2558,1.37013,0.96161,0.82928,0.69423,0.30802,0.33268,0.17324,1.48761,0.89863,0.84128,0.00112625,0.00112625,0.00112625
7,29.7598,1.34029,0.90073,0.82143,0.62625,0.37538,0.39186,0.23493,1.18646,0.74254,0.82033,0.0011015,0.0011015,0.0011015
8,33.2525,1.29334,0.85171,0.81972,0.72614,0.4517,0.48579,0.28981,1.13997,0.69628,0.81554,0.00107675,0.00107675,0.00107675
9,36.8088,1.28273,0.80651,0.82031,0.7563,0.51017,0.52503,0.32721,1.16476,0.68209,0.81425,0.001052,0.001052,0.001052
10,40.8124,1.2872,0.79286,0.82041,0.84775,0.47873,0.55588,0.33627,1.18195,0.67899,0.81572,0.00102725,0.00102725,0.00102725
11,44.6459,1.31967,0.77621,0.82142,0.78978,0.49817,0.56165,0.35532,1.15131,0.64998,0.81422,0.0010025,0.0010025,0.0010025
12,48.464,1.24626,0.73187,0.81736,0.83509,0.54883,0.59256,0.37297,1.11591,0.6188,0.81276,0.00097775,0.00097775,0.00097775
13,52.3705,1.25905,0.7275,0.81661,0.81761,0.54178,0.59177,0.37088,1.19155,0.65003,0.81716,0.000953,0.000953,0.000953
14,56.0818,1.20123,0.69233,0.81318,0.84744,0.52708,0.6106,0.37996,1.08419,0.59931,0.80804,0.00092825,0.00092825,0.00092825
15,59.8858,1.21031,0.6894,0.81244,0.84689,0.53538,0.61468,0.35467,1.14443,0.63391,0.81161,0.0009035,0.0009035,0.0009035
16,63.7866,1.19415,0.67617,0.81199,0.90692,0.57827,0.64111,0.40189,1.07731,0.57846,0.8078,0.00087875,0.00087875,0.00087875
17,67.5175,1.18893,0.66063,0.811,0.90173,0.54964,0.63609,0.41091,1.07271,0.58447,0.80858,0.000854,0.000854,0.000854
18,71.4068,1.15644,0.64147,0.80534,0.89136,0.57226,0.63382,0.40971,1.0616,0.557,0.80923,0.00082925,0.00082925,0.00082925
19,74.9637,1.15561,0.63535,0.81155,0.88406,0.5346,0.62928,0.39716,1.07617,0.58303,0.8092,0.0008045,0.0008045,0.0008045
20,78.4817,1.18235,0.64291,0.81039,0.8518,0.58084,0.63529,0.41167,1.04795,0.56632,0.80603,0.00077975,0.00077975,0.00077975
21,82.1832,1.14286,0.6216,0.8076,0.84891,0.60288,0.62909,0.40351,1.07886,0.54906,0.81101,0.000755,0.000755,0.000755
22,85.964,1.15584,0.62337,0.80709,0.86093,0.58696,0.64195,0.40905,1.03026,0.55011,0.80725,0.00073025,0.00073025,0.00073025
23,89.4884,1.11458,0.60839,0.80584,0.84849,0.59809,0.64906,0.42211,1.04832,0.56606,0.80438,0.0007055,0.0007055,0.0007055
24,93.0256,1.11454,0.59718,0.80328,0.85905,0.58901,0.6467,0.42697,1.03213,0.53432,0.80581,0.00068075,0.00068075,0.00068075
25,96.715,1.1025,0.58922,0.80395,0.88114,0.59973,0.66358,0.42375,1.03482,0.5397,0.80459,0.000656,0.000656,0.000656
26,100.41,1.12037,0.59131,0.806,0.85695,0.61294,0.65758,0.42398,1.04979,0.5397,0.80511,0.00063125,0.00063125,0.00063125
