epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,250.943,1.74224,2.92442,1.0201,0.0252,0.15447,0.04905,0.02021,1.49649,3.95125,0.95065,0.000324074,0.000324074,0.000324074
2,469.094,1.6889,1.85765,1.00031,0.02952,0.07237,0.03401,0.0186,1.35747,3.08436,0.92996,0.000592324,0.000592324,0.000592324
3,734.428,1.63217,1.69797,0.98949,0.03267,0.07286,0.04074,0.02515,1.36994,2.23433,0.95398,0.000794574,0.000794574,0.000794574
4,985.908,1.60057,1.64785,0.97649,0.57394,0.04956,0.04482,0.02832,1.36489,1.62305,0.95725,0.000703,0.000703,0.000703
5,1259.99,1.56177,1.58098,0.96734,0.56345,0.0414,0.03718,0.02314,1.32245,1.48735,0.94784,0.000604,0.000604,0.000604
6,1580.74,1.53655,1.54238,0.95365,0.5683,0.05763,0.04776,0.02755,1.49137,1.43055,0.98095,0.000505,0.000505,0.000505
7,1868.52,1.50347,1.47454,0.95142,0.64037,0.04476,0.05094,0.03086,1.31672,1.3286,0.95098,0.000406,0.000406,0.000406
8,2225.95,1.47194,1.41651,0.95219,0.66099,0.05194,0.05832,0.03415,1.29876,1.26931,0.94702,0.000307,0.000307,0.000307
9,2562.35,1.48117,1.39095,0.94973,0.47733,0.0592,0.06555,0.04026,1.27113,1.24529,0.93867,0.000208,0.000208,0.000208
10,2916.07,1.43853,1.35591,0.94104,0.54401,0.05937,0.06403,0.03934,1.2651,1.23709,0.9379,0.000109,0.000109,0.000109
